bucket_key,knife_model_id,knife_name,match_mode,handle_bucket,blade_bucket,strict_blade,ordered_qty,inventory_qty,gap_ordered_minus_inventory,order_examples,inventory_item_ids
fb:282:orange/black:*,282,Super Cub,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 127179 2024-04-03 qty=1 | SUPER CUB - DROP POINT HUNTER - ORANGE & BLACK,202
fb:318:odgreen:coyote,318,TF24,model_handle_blade_bb_tactical_only,odgreen,coyote,no,1,1,0,order 180545 2024-09-13 qty=1 | TF24 - COY/OD,228
fb:284:orange/black:*,284,The Marshall Bushcraft Knife,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 137128 2024-05-10 qty=1 | THE MARSHALL BUSHCRAFT KNIFE - ORANGE & BLACK,197
fb:316:orange/black:*,316,The Rocker,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 263487 2025-02-14 qty=1 | ROCKER - ORANGE & BLACK,217
fb:315:orange/black:*,315,The Stockyard,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 224078 2024-12-06 qty=1 | STOCKYARD - ORANGE & BLACK,210
fb:337:*:*,337,Traditions Jackstone,model_only_singleton_sku,*,*,no,1,1,0,order 309440 2025-05-30 qty=1 | TRADITIONS JACKSTONE,235
fb:338:*:*,338,Traditions MKC Whitetail,model_only_singleton_sku,*,*,no,1,1,0,order 140790 2024-05-24 qty=1 | TRADITIONS MKC WHITETAIL,204
fb:331:orange/black:*,331,Triumph Hunter,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 145901 2024-06-08 qty=1 | NOCK ON - TRIUMPH HUNTER - ORANGE & BLACK,208
fb:333:orange/black:*,333,Triumph Hunter XL,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 145901 2024-06-08 qty=1 | NOCK ON - TRIUMPH HUNTER XL - ORANGE & BLACK,209
fb:303:orange/black:*,303,Triumph Pro,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 358075 2025-09-07 qty=1 | VIP - TRIUMPH PRO / ORANGE & BLACK,207
fb:307:odgreen:coyote,307,V24,model_handle_blade_bb_tactical_only,odgreen,coyote,no,1,1,0,order 212785 2024-11-19 qty=1 | VIP - V24 / COY / OD,225
fb:304:odgreen:coyote,304,Wargoat,model_handle_blade_bb_tactical_only,odgreen,coyote,no,1,1,0,order 227466 2024-12-11 qty=1 | VIP - WARGOAT / Coyote/OD Green,224
fb:320:orange/black:*,320,Westslope,model_handle_blade_bb_tactical_only,orange/black,*,no,1,1,0,order 274531 2025-03-14 qty=1 | WESTSLOPE - ORANGE & BLACK,211
